post date	Summary and Description	post number
2023-12-16T04:41:33Z	"Thanks to all of you! I appreciate the Piazza and direct thanks from all of you. But from me and from the rest of the staff let us say thanks too.

For all of us -- myself, Emily, and the TAs -- being part of the first course in CS is a privilege. We get the pleasure of helping you get started on the path of research university computer science. Or learning not to &#34;just bang on the keyboard till it works&#34;! 

It&#39;s a real pleasure for all of us to see you learn that, to see you discover the fun and beauty in it, to learn that you can solve difficult design problems.  It&#39;s a pleasure to think that we have helped you get started on your way.

So thanks to you all for being a great class; for asking lots of questions in class, on Piazza and in office hours; and for your patience when things didn&#39;t work exactly as we wanted them to.

Whatever your traditions are, I hope that you will be able to get some good rest time over the break.

Let us know how things go for you down the road.

#pin"	1747
2024-01-03T02:34:14Z	"Resources &amp; Announcements Logistics
Important LinksWelcome Message@5 Search for Teammates!@38 Office Hours@58 Please Do Not Contact the Course Team About Lab Registration@202 Reminder: Mandatory Academic Integrity Quiz@215 Piazza Etiquette @632 spd.plt plugin update required to fix confusing error message@726 update to spd.plt update@926 Admin Email Delay@1484 IMPORTANT: Wifi failure consequences@1733 Grades &amp; End of Term Announcements
Lecture
Post-Lecture Notes (you must be signed in to your UBC OneDrive account to access these)@85 Section 101 Lecture Capacity Issue Resolved!@106 UBC Zoom Account@446 UBC Zoom Account - Update@498 Lecture Recording -Sep 26 Section 102-@505 Switching to iClicker Cloud@1376 Pre-lecture work going forward
Lab
@478 Lab 4 and Lab 5 Schedule Reminder@551 Lab Fine Tuning@1435 Lab 11 Schedule Reminder
Problem Sets
@169 Problem Set 1 Questions@306 Problem Set 2 Questions@404 Problem Set 3 Questions@510 Problem Set 4 Questions@803 Problem Set 5 Questions@874 Problem Set 6 Questions@925 Problem Set 7 Questions@1021 Problem Set 8 Questions@1190 Problem Set 9 Questions@1419 Problem Set 10 Questions@1482 Problem Set 11 Questions
Midterm 1
@425 Midterm 1 Instructions &amp; Conflicts@519 Midterm 1 Office Hours@795 Midterm 1 Grades &amp; Info@799 Midterm 1 UPDATED P4 and P5 Grades@841 Midterm 1 Regrade Requests@844 Midterm 1 Problem 4
Midterm 2
@1012 Midterm 2 Instructions &amp; Conflicts@1044 Midterm 2 - IMPORTANT regarding problem numbering@1066 Gregor&#39;s reading break office hours@1067 Midterm 2 Office Hours@1312 Midterm 2 Grades &amp; Info@1328 Midterm 2 Problem 1 and 2 Regraded@1403 Midterm 2 Regrade Requests@1560 Midterm 2 Problem 3 has been regraded
Final Exam
@876 Final Exam Clashes or Hardships@1423 Final Exam Instructions"	6
2023-08-24T03:56:54Z	"Search for Teammates! PA.load(""/dashboard/project_partners"", null, function(data){ $('#' + 'questionText').html(data);}); #pin"	5
2023-12-14T21:49:04Z	"Grades &amp; End of Term Announcements Hi everyone, final Lab, Problem Set, Lecture, and Midterm grades are being released on Canvas right now! They&#39;re not all out at this moment, as it take a few minutes per assignment, but they will be shortly. I apologize for the delay - there were a number of factors that slowed down the process this term and I am working on improvements. Please read this entire message and the entire Assignments and Grading section of the syllabus carefully before asking any questions. Questions that are answered by this message or the syllabus will not receive a response.
 
FAQs
1. How are lab/problem set grades calculated
Please review the Assignments and Grading section of the syllabus, specifically the lab and problem set sub-sections.
 
2. Why is my autograder score X?
Please carefully review the feedback in your autograder report. You can find more details about autograder reports here.
 
3. My autograder score is X, why is my final lab/problem set grade lower?
Please review the Assignments and Grading section of the syllabus, specifically the lab and problem set sub-sections.
 
4. Do all lab/problem set grades count?
Your lowest lab grade and lowest problem set grade have been dropped in the &#34;Total Lab Grade&#34; and &#34;Total Problem Set Grade&#34; columns, in addition to any exemptions confirmed by the Course Coordinator.
 
5. Why did my autograder score change?
If we find an error in the autograder for an assignment then our fix of that error may cause your final autograder score to go up or down. Don&#39;t rely on the autograder score alone, you should be 100% confident in your work before submitting it.
 
6. Why is one of my grades EX in Canvas?
If you have an exemption for an assignment, your grade for that assignment on Canvas will be EX. This is our way of indicating that we need to omit that grade when we calculate final grades.
 
7.Are Canvas&#39; total grade calculations accurate?
No, please only refer to individual assignments (e.g., Lab 1: Intro) or your &#34;Total Lab Grade&#34; and &#34;Total Problem Set Grade&#34; as Canvas&#39; total columns (e.g., Labs) do not take exemptions in to account.
 
8. How do I request a regrade for a Lab or Problem Set?
Please follow the instructions in the Regrade Request Policy in the syllabus. Note that the deadline to request a regrade is 11:59 PM on Wednesday, December 20.
 
9. Will final exam grades and final course grades be released on Canvas?
No, final exam grades and final course grades will not be released on Canvas. You will not know your final grade in the course until the final exam period ends and final course grades have been released through the SSC. This can take up to 7 business days after the date of the final exam.
 
10. Can I see my final exam?
If you would like to schedule a meeting to view your final exam, you will have the opportunity to submit a Final Exam Viewing Form between December 23-January 19. Please note that exam viewings are purely for learning purposes and viewing your final exam is not an opportunity to request a regrade.
 
11. Will there be regrade requests for the final exam?
The course team is unable to accept regrade requests for the final exam. If you sign up for an exam and wish to dispute your grade after viewing your exam, you will need to apply for a Review of Assigned Standing.
 
Term-specific Notes
1. iClicker questions did not start counting towards your Lecture grade until Tuesday, October 10. We also increased the number of automatically dropped lectures from 2 to 4 lectures, due to various technical issues throughout the term.
2. As specified in @1044, your Midterm 2 Problem 5 grade replaced your Midterm 1 Problem 4 grade, if your Midterm 2 Problem 5 grade was higher.
 
Wishing you all the best for the remainder of exam season and your future studies. We hope you have a happy and healthy holiday break!"	1733
2023-11-30T19:53:17Z	"Final Exam Instructions Please take the time to read the CPSC 110 Final Exam Instructions very carefully, as they are essential in helping you prepare for the exam and you are responsible for knowing their content. If you have a question about the exam, you must ask it as a follow-up to this announcement. You should also bookmark the exam instructions page now, as access to all content on Piazza will be blocked 1 hour before the exam.
 
As a reminder, students who are unable to write the exam at the regularly scheduled time exam due to an exam clash or an exam hardship must submit a Final Exam Clashes or Hardships form before 11:59 PM on Thursday, November 30 (tonight).
 
Students who are registered with the Centre for Accessibility must register through the CFA exam portal before their specified deadline to receive exam accommodations."	1423
2023-11-02T22:58:54Z	"Midterm 2 Instructions &amp; Conflicts Please take the time to read the CPSC 110 Midterm 2 Instructions very carefully, as they are essential in helping you prepare for the exam and you are responsible for knowing their content. If you have a question about the exam, you must ask it as a follow-up to this announcement. You should also bookmark the exam instructions page now, as access to all content on Piazza will be blocked 1 hour before the exam.  
 
You must complete the CPSC 110 Midterm 2 Conflict Form before 11:59 PM PST on Monday, November 6 if you require academic concession to write Midterm 2 at an alternate time due to conflicting responsibilities, medical circumstances, or compassionate grounds. See UBC&#39;s policy on academic concession for examples and exceptions. Do not submit a conflict form if your CPSC 110 lab conflicts with the exam time as there are no CPSC 110 labs scheduled on the day of the exam.
 
Students who are registered with the Centre for Accessibility must register through the CFA exam portal at least 1 week before the exam to receive exam accommodations. Because the CFA exam centre closes at 9:30 PM, students who register to write their exam at the CFA exam centre will write their exam from 5:00-7:00 PM on Friday, November 17 (with any applicable extended time accommodations applied)."	1012
2023-10-19T21:25:23Z	"Final Exam Clashes or Hardships The final exam schedule is out and CPSC 110 is scheduled from 8:30-11:00 AM on Thursday, December 14.
 
Please submit a Final Exam Clashes or Hardships form before 11:59 PM on Thursday, November 30 if you have an exam clash or an exam hardship that affects the CPSC 110 final exam.
 
UBC defines exam clashes and exam hardships as outlined below:
An examination clash is when a student has multiple formal examinations scheduled on the same day and at the same time, or where the allotted times for scheduled formal examinations overlap.An examination hardship is defined as the occurrence of an examination candidate being faced with three (3) or more formal examinations scheduled within a 24-hour period (e.g., from 8:00 AM to 7:59 AM the following day). Please only fill out this survey if CPSC 110 is the second (middle) examination in your exam hardship."	876
2023-11-06T23:05:57Z	"Midterm 1 Problem 4 




























PLEASE READ EVERY WORD OF THE FOLLOWING. THERE IS AN IMPORTANT CHANGE TO MIDTERM 1 GRADING HERE.
On midterm 1 problem 4 we observed a few different kinds of problems: 
Some students made errors involving missing or incorrect @htdf tagsSome students designed primary functions that operated on Gift instead of PackageSome students did not resolve the problem with inconsistency in order of height, width, and lengthSome students commented out their solution because of the ambiguity.
 The first point to make is that correct tags are a requirement for all problems. In the future it is critical that you always get the @htdf tags correct – without them the grader cannot find the function to grade.

The second point is that it is critical to read problem directions very carefully and follow them.

The third point is that if you see a possible mistake in the problem do what you think is reasonable. DO NOT TRY TO ASK A QUESTION DURING THE EXAM. Just do what you think is reasonable.

The fourth point is that you should not comment out your solution. The autograder does not grade anything that is commented out.

But, taking all the above into account, we have come up with what we think is a simple and more than fair resolution for all these problems: 


After midterm 2, your midterm 1 problem 4 score will become the higher of the original score and your midterm 2 problem 3 score. So if for any reason you did poorly on midterm 1 problem 4 you have a chance to make that up by doing well on problem 3 of midterm 2.































"	844
2023-10-16T20:07:37Z	"Midterm 1 Regrade Requests Regrade requests are now open until 11:59 PM on Friday, October 20. You must submit your regrade request before the deadline through Gradescope. 

READ THIS NOTE CAREFULLY. REGRADE REQUESTS THAT DO NOT COMPLY WILL NOT BE ANSWERED.

How to View Your Exam in Gradescope 
Go to http://www.gradescope.ca (note this is gradescope.CA not gradescope.COM).Click &#34;Log In&#34; and then &#34;Forgot Your Password?&#34;Enter your CWL@student.ubc.ca email address.Check your CWL@student.ubc.ca email account for the password reset message. If you have email forwarding set up for your CWL@student.ubc.ca email address, check the email account that your messages are forwarded to. Follow the instructions in the message you receive to reset your password.Log in to Gradescope using your CWL@student.ubc.ca email address and the new password you just set.  

When is a Regrade Request Appropriate? 
A regrade request is only appropriate if your exam was mis-graded according to the rubric. Your regrader request needs to explain clearly how your answer is correct according to the rubric. In order to do this, you must read the rubric in your autograder report carefully, read the posted sample solution carefully, and read your submission carefully. If after reviewing these three things you can clearly explain why your answer is correct according to the rubric, then please submit a regrade request.  

Please note that: 
A regrade request is not an opportunity for you to explain why you answered the way you did. A regrade request is not an opportunity to ask us to explain why your answer is incorrect. A regrade request is not appropriate if you disagree with the rubric, dislike the rubric, or otherwise think the rubric unfair. We reserve the right to regrade your full exam, not only the problem for which you are requesting a regrade. 

Any regrade request that does not comply with these instructions will be denied without a written reply."	841
2023-10-10T17:27:27Z	"Problem Set 5 Questions This thread is the only place you are permitted to ask questions about problem set 5.

NOTE that you are only permitted to ask questions that seek to clarify the problem description, or in cases of supposed errors with the starter.  Other questions will be deleted.

Students should not answer other students’ questions about problem sets."	803
